+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        123 |   0.60 |  24.08 |    14.53 |    28.32 |    25.20 |     25.06 |     43.88 |  task_3250_cp2k_singlepoint_pre |
|        124 |   0.98 |  18.65 |    12.81 |    25.11 |    21.90 |     18.74 |     26.66 |  task_3252_cp2k_singlepoint_pre |
|        125 |   0.45 |  21.65 |    14.62 |    26.60 |    22.02 |     22.92 |     35.89 |  task_3254_cp2k_singlepoint_pre |
|        126 |   0.92 |  17.64 |    12.92 |    24.48 |    19.40 |     17.13 |     25.83 |  task_3256_cp2k_singlepoint_pre |
|        127 |   0.53 |  20.61 |    13.42 |    25.08 |    21.06 |     21.75 |     35.26 |  task_3258_cp2k_singlepoint_pre |
|        128 |   1.04 |  18.43 |    12.71 |    24.08 |    20.68 |     19.30 |     26.79 |  task_3260_cp2k_singlepoint_pre |
|        129 |   0.72 |  25.55 |    15.61 |    29.80 |    26.53 |     27.25 |     45.46 |  task_3262_cp2k_singlepoint_pre |
|        130 |   0.75 |  17.59 |    12.10 |    23.46 |    20.12 |     17.17 |     27.13 |  task_4231_cp2k_singlepoint_pre |
|        131 |   0.70 |  23.51 |    14.12 |    30.69 |    24.47 |     24.33 |     41.23 |  task_4229_cp2k_singlepoint_pre |
|        132 |   0.72 |  18.40 |    13.98 |    25.75 |    21.73 |     17.07 |     24.59 |  task_4233_cp2k_singlepoint_pre |
|        133 |   0.68 |  22.20 |    13.93 |    26.38 |    21.84 |     23.34 |     40.51 |  task_4235_cp2k_singlepoint_pre |
|        134 |   0.75 |  16.15 |    12.49 |    20.91 |    17.95 |     15.10 |     24.18 |  task_4237_cp2k_singlepoint_pre |
|        135 |   0.51 |  21.91 |    13.35 |    27.20 |    22.44 |     23.57 |     37.94 |  task_4239_cp2k_singlepoint_pre |
|        136 |   0.83 |  17.49 |    12.97 |    22.77 |    20.16 |     15.91 |     27.16 |  task_4247_cp2k_singlepoint_pre |
|        137 |   0.60 |  21.70 |    13.81 |    27.67 |    23.12 |     21.87 |     37.57 |  task_4241_cp2k_singlepoint_pre |
|        138 |   0.83 |  18.62 |    13.07 |    23.75 |    20.27 |     18.70 |     29.52 |  task_4245_cp2k_singlepoint_pre |
|        139 |   0.49 |  21.13 |    13.46 |    28.61 |    23.06 |     20.93 |     35.26 |  task_4243_cp2k_singlepoint_pre |
|        140 |   0.76 |  16.71 |    12.18 |    22.57 |    20.01 |     15.93 |     23.19 |  task_4251_cp2k_singlepoint_pre |
|        141 |   0.54 |  22.70 |    14.53 |    25.91 |    21.81 |     24.97 |     40.15 |  task_4249_cp2k_singlepoint_pre |
|        142 |   0.87 |  17.08 |    12.87 |    22.55 |    18.69 |     16.16 |     26.12 |  task_4255_cp2k_singlepoint_pre |
|        143 |   0.58 |  22.69 |    13.94 |    28.51 |    22.58 |     24.19 |     39.97 |  task_4253_cp2k_singlepoint_pre |
|        144 |   0.73 |  16.88 |    12.46 |    24.00 |    18.47 |     15.62 |     25.54 |  task_4261_cp2k_singlepoint_pre |
|        145 |   0.62 |  20.90 |    13.81 |    25.30 |    21.25 |     22.05 |     35.70 |  task_4257_cp2k_singlepoint_pre |
|        146 |   0.85 |  16.76 |    11.57 |    21.18 |    19.29 |     16.64 |     26.06 |  task_4265_cp2k_singlepoint_pre |
|        147 |   0.66 |  21.59 |    13.21 |    26.08 |    20.78 |     23.31 |     39.09 |  task_4259_cp2k_singlepoint_pre |
|        148 |   0.86 |  17.02 |    12.27 |    23.18 |    18.58 |     17.62 |     23.76 |  task_4267_cp2k_singlepoint_pre |
|        149 |   0.78 |  22.41 |    14.02 |    28.73 |    23.55 |     22.76 |     39.18 |  task_4263_cp2k_singlepoint_pre |
|        150 |   0.72 |  15.65 |    11.54 |    19.66 |    16.34 |     15.93 |     24.31 |  task_4271_cp2k_singlepoint_pre |
|        151 |   0.59 |  21.45 |    13.88 |    23.40 |    21.29 |     22.69 |     39.26 |  task_4269_cp2k_singlepoint_pre |
|        152 |   0.74 |  17.67 |    12.49 |    25.04 |    19.49 |     17.40 |     25.97 |  task_4285_cp2k_singlepoint_pre |
|        153 |   0.66 |  20.57 |    13.02 |    26.42 |    21.06 |     21.36 |     35.52 |  task_4283_cp2k_singlepoint_pre |
|        154 |   0.77 |  16.41 |    12.00 |    21.89 |    18.44 |     16.15 |     23.85 |  task_4277_cp2k_singlepoint_pre |
|        155 |   0.73 |  22.68 |    14.50 |    26.71 |    23.09 |     24.10 |     39.77 |  task_4273_cp2k_singlepoint_pre |
|        156 |   0.99 |  16.68 |    12.40 |    20.90 |    19.79 |     16.18 |     23.73 |  task_4287_cp2k_singlepoint_pre |
