+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
|        112 |   0.63 |  29.97 |    18.27 |    37.25 |    29.59 |     32.78 |     52.44 |  task_4664_cp2k_singlepoint_pre |
|        113 |   1.17 |  32.22 |    19.14 |    38.55 |    30.23 |     36.98 |     56.65 |  task_4661_cp2k_singlepoint_pre |
|        114 |   0.12 |  28.24 |    17.39 |    30.25 |    25.74 |     32.03 |     52.35 |  task_4653_cp2k_singlepoint_pre |
|        115 |   0.45 |  39.89 |    24.08 |    51.62 |    37.26 |     39.71 |     77.58 |  task_4655_cp2k_singlepoint_pre |
|        116 |   0.07 |  34.35 |    20.49 |    36.41 |    30.03 |     41.76 |     60.83 |  task_4659_cp2k_singlepoint_pre |
|        117 |   0.00 |  16.91 |    11.58 |    21.96 |    18.32 |     17.03 |     27.31 |  task_4669_cp2k_singlepoint_pre |
|        118 |   0.01 |  18.69 |    13.22 |    24.23 |    19.61 |     19.56 |     28.84 |  task_4667_cp2k_singlepoint_pre |
|        119 |   0.39 |  23.76 |    15.07 |    30.61 |    24.49 |     26.44 |     38.22 |  task_4671_cp2k_singlepoint_pre |
|        120 |   0.01 |  21.01 |    13.62 |    27.92 |    23.92 |     22.17 |     31.83 |  task_4681_cp2k_singlepoint_pre |
|        121 |   0.60 |  24.40 |    16.30 |    26.75 |    26.50 |     26.60 |     40.92 |  task_4679_cp2k_singlepoint_pre |
|        122 |   0.31 |  28.43 |    16.37 |    40.94 |    29.00 |     30.47 |     48.88 |  task_4673_cp2k_singlepoint_pre |
|        123 |   0.96 |  31.07 |    17.70 |    41.34 |    30.47 |     34.30 |     56.70 |  task_4677_cp2k_singlepoint_pre |
|        124 |   0.91 |  41.67 |    26.66 |    54.82 |    43.77 |     48.76 |     60.97 |  task_4675_cp2k_singlepoint_pre |
|        125 |   0.00 |  16.16 |    11.29 |    18.87 |    16.79 |     18.36 |     23.60 |  task_4685_cp2k_singlepoint_pre |
|        126 |   0.11 |  17.08 |    11.69 |    22.78 |    16.50 |     18.32 |     27.00 |  task_4683_cp2k_singlepoint_pre |
|        127 |   0.02 |  16.84 |    11.29 |    21.24 |    17.05 |     18.33 |     26.49 |  task_4691_cp2k_singlepoint_pre |
|        128 |   0.23 |  17.20 |    12.14 |    23.36 |    20.01 |     16.74 |     24.65 |  task_4689_cp2k_singlepoint_pre |
|        129 |   0.44 |  17.91 |    12.09 |    23.53 |    19.64 |     17.90 |     28.12 |  task_4687_cp2k_singlepoint_pre |
|        130 |   0.40 |  27.34 |    13.71 |    25.80 |    22.32 |     37.46 |     43.61 |  task_4693_cp2k_singlepoint_pre |
|        131 |   0.03 |  18.55 |    12.32 |    24.56 |    19.26 |     19.60 |     28.40 |  task_4697_cp2k_singlepoint_pre |
|        132 |   0.21 |  21.26 |    13.48 |    26.38 |    21.05 |     23.00 |     34.89 |  task_4695_cp2k_singlepoint_pre |
|        133 |   0.15 |  14.05 |    10.34 |    18.79 |    16.50 |     14.33 |     17.94 |  task_4711_cp2k_singlepoint_pre |
|        134 |   0.07 |  18.57 |    12.62 |    26.60 |    19.12 |     19.51 |     27.56 |  task_4705_cp2k_singlepoint_pre |
|        135 |   0.06 |  21.45 |    13.47 |    27.00 |    22.36 |     23.02 |     35.97 |  task_4707_cp2k_singlepoint_pre |
|        136 |   0.28 |  25.22 |    16.84 |    30.60 |    24.23 |     27.49 |     42.88 |  task_4709_cp2k_singlepoint_pre |
|        137 |   0.39 |  28.17 |    17.11 |    37.15 |    27.28 |     31.52 |     47.00 |  task_4703_cp2k_singlepoint_pre |
|        138 |   1.18 |  32.53 |    19.24 |    40.33 |    29.22 |     37.52 |     57.33 |  task_4701_cp2k_singlepoint_pre |
|        139 |   0.17 |  29.59 |    18.45 |    34.11 |    27.88 |     32.92 |     53.23 |  task_4699_cp2k_singlepoint_pre |
|        140 |   0.70 |  30.19 |    18.82 |    38.87 |    28.46 |     33.53 |     51.58 |  task_4713_cp2k_singlepoint_pre |
|        141 |   0.42 |  34.61 |    21.47 |    40.45 |    32.64 |     37.86 |     63.27 |  task_4715_cp2k_singlepoint_pre |
|        142 |   0.13 |  18.21 |    12.31 |    24.55 |    19.25 |     18.00 |     30.22 |  task_4717_cp2k_singlepoint_pre |
|        143 |   0.02 |  18.68 |    12.75 |    26.33 |    20.60 |     19.35 |     26.89 |  task_4725_cp2k_singlepoint_pre |
|        144 |   0.25 |  21.50 |    13.55 |    28.57 |    23.23 |     22.05 |     36.29 |  task_4727_cp2k_singlepoint_pre |
|        145 |   0.34 |  21.52 |    14.39 |    27.81 |    22.86 |     22.81 |     34.56 |  task_4731_cp2k_singlepoint_pre |
|        146 |   0.30 |  23.36 |    15.04 |    30.51 |    23.95 |     25.81 |     37.82 |  task_4723_cp2k_singlepoint_pre |
|        147 |   0.20 |  27.16 |    16.52 |    36.51 |    28.23 |     29.46 |     45.92 |  task_4719_cp2k_singlepoint_pre |
|        148 |   0.67 |  29.93 |    17.91 |    39.00 |    30.05 |     33.55 |     51.85 |  task_4721_cp2k_singlepoint_pre |
|        149 |   0.52 |  30.77 |    18.19 |    37.09 |    29.87 |     35.35 |     56.12 |  task_4729_cp2k_singlepoint_pre |
|        150 |   0.24 |  17.24 |    12.09 |    24.86 |    18.45 |     16.99 |     25.80 |  task_6306_cp2k_singlepoint_pre |
|        151 |   0.13 |  17.11 |    11.96 |    23.25 |    17.97 |     17.98 |     25.05 |  task_6302_cp2k_singlepoint_pre |
|        152 |   0.17 |  16.21 |    11.59 |    21.80 |    16.94 |     16.94 |     23.59 |  task_6312_cp2k_singlepoint_pre |
|        153 |   0.19 |  17.28 |    12.12 |    22.64 |    18.82 |     18.05 |     25.00 |  task_6304_cp2k_singlepoint_pre |
|        154 |   0.28 |  16.20 |    12.09 |    23.53 |    17.48 |     16.10 |     21.47 |  task_6298_cp2k_singlepoint_pre |
|        155 |   0.06 |  19.87 |    12.53 |    27.35 |    20.41 |     19.85 |     33.41 |  task_6300_cp2k_singlepoint_pre |
|        156 |   0.09 |  18.34 |    13.37 |    24.02 |    20.23 |     17.78 |     27.45 |  task_6308_cp2k_singlepoint_pre |
|        157 |   0.05 |  17.59 |    11.63 |    22.42 |    17.75 |     19.42 |     26.39 |  task_6310_cp2k_singlepoint_pre |
|        158 |   0.11 |  14.53 |    10.46 |    18.31 |    15.69 |     15.35 |     21.28 |  task_6316_cp2k_singlepoint_pre |
|        159 |   0.07 |  18.56 |    12.35 |    24.59 |    20.83 |     19.31 |     27.95 |  task_6314_cp2k_singlepoint_pre |
|        160 |   0.20 |  19.00 |    12.49 |    22.77 |    20.05 |     20.94 |     30.26 |  task_6330_cp2k_singlepoint_pre |
|        161 |   0.28 |  22.26 |    14.49 |    26.35 |    23.27 |     24.00 |     37.33 |  task_6328_cp2k_singlepoint_pre |
|        162 |   0.02 |  24.85 |    16.50 |    32.36 |    27.27 |     25.73 |     39.12 |  task_6326_cp2k_singlepoint_pre |
|        163 |   0.81 |  25.29 |    16.01 |    31.86 |    25.58 |     27.78 |     41.91 |  task_6324_cp2k_singlepoint_pre |
|        164 |   0.49 |  28.66 |    17.35 |    33.83 |    27.78 |     31.92 |     51.05 |  task_6322_cp2k_singlepoint_pre |
|        165 |   0.62 |  25.81 |    17.98 |    32.28 |    26.39 |     27.86 |     40.15 |  task_6320_cp2k_singlepoint_pre |
|        166 |   0.08 |  24.98 |    17.65 |    30.42 |    25.95 |     26.80 |     38.77 |  task_6318_cp2k_singlepoint_pre |
|        167 |   0.08 |  16.88 |    11.66 |    23.95 |    18.73 |     15.84 |     26.74 |  task_6332_cp2k_singlepoint_pre |
|        168 |   0.04 |  19.23 |    13.06 |    26.92 |    21.46 |     19.23 |     29.06 |  task_6336_cp2k_singlepoint_pre |
|        169 |   0.12 |  19.60 |    13.29 |    24.04 |    20.39 |     21.31 |     31.45 |  task_6334_cp2k_singlepoint_pre |
|        170 |   0.06 |  21.44 |    13.84 |    35.18 |    24.10 |     19.85 |     31.65 |  task_6338_cp2k_singlepoint_pre |
|        171 |   0.20 |  23.11 |    15.54 |    29.73 |    23.54 |     25.14 |     37.35 |  task_6346_cp2k_singlepoint_pre |
|        172 |   0.20 |  24.20 |    15.86 |    31.43 |    26.38 |     26.28 |     37.61 |  task_6340_cp2k_singlepoint_pre |
|        173 |   0.37 |  26.51 |    16.62 |    33.31 |    28.70 |     29.12 |     43.80 |  task_6344_cp2k_singlepoint_pre |
|        174 |   0.25 |  26.49 |    16.67 |    34.13 |    27.96 |     29.35 |     43.66 |  task_6342_cp2k_singlepoint_pre |
|        175 |   0.31 |  16.14 |    11.27 |    21.61 |    19.01 |     15.53 |     23.93 |  task_6348_cp2k_singlepoint_pre |
|        176 |   0.19 |  16.26 |    11.40 |    21.05 |    18.42 |     16.97 |     22.95 |  task_6350_cp2k_singlepoint_pre |
|        177 |   0.23 |  15.91 |    11.33 |    21.42 |    17.19 |     15.90 |     23.90 |  task_6352_cp2k_singlepoint_pre |
|        178 |   0.34 |  16.63 |    10.87 |    25.18 |    18.01 |     17.06 |     23.46 |  task_6356_cp2k_singlepoint_pre |
|        179 |   0.01 |  16.71 |    11.25 |    23.01 |    17.92 |     17.54 |     24.37 |  task_6354_cp2k_singlepoint_pre |
|        180 |   0.36 |  17.32 |    11.39 |    21.60 |    17.35 |     19.10 |     27.01 |  task_6358_cp2k_singlepoint_pre |
|        181 |   0.09 |  18.34 |    12.55 |    26.00 |    20.11 |     17.99 |     27.30 |  task_6362_cp2k_singlepoint_pre |
|        182 |   0.11 |  18.98 |    12.73 |    23.72 |    19.17 |     20.66 |     29.13 |  task_6360_cp2k_singlepoint_pre |
|        183 |   0.11 |  14.40 |    10.52 |    19.53 |    16.90 |     13.88 |     20.14 |  task_6370_cp2k_singlepoint_pre |
|        184 |   0.15 |  18.74 |    12.44 |    26.65 |    20.26 |     19.40 |     27.94 |  task_6364_cp2k_singlepoint_pre |
|        185 |   0.16 |  20.15 |    13.71 |    28.35 |    20.94 |     21.77 |     28.80 |  task_6368_cp2k_singlepoint_pre |
|        186 |   0.08 |  22.02 |    14.86 |    27.68 |    23.79 |     23.61 |     33.82 |  task_6366_cp2k_singlepoint_pre |
|        187 |   0.20 |  24.15 |    15.45 |    31.37 |    24.59 |     26.22 |     39.39 |  task_6372_cp2k_singlepoint_pre |
|        188 |   0.57 |  26.79 |    16.26 |    31.62 |    27.58 |     30.10 |     45.30 |  task_6374_cp2k_singlepoint_pre |
|        189 |   0.43 |  28.66 |    16.23 |    36.17 |    26.82 |     32.99 |     50.31 |  task_6376_cp2k_singlepoint_pre |
|        190 |   0.28 |  26.76 |    16.64 |    34.53 |    26.12 |     29.48 |     45.18 |  task_6378_cp2k_singlepoint_pre |
|        191 |   0.16 |  28.21 |    18.30 |    33.88 |    29.49 |     30.72 |     46.46 |  task_6380_cp2k_singlepoint_pre |
|        192 |   0.03 |  16.46 |    11.41 |    22.54 |    19.44 |     16.69 |     22.48 |  task_6382_cp2k_singlepoint_pre |
|        193 |   0.10 |  18.20 |    12.50 |    24.19 |    20.42 |     18.66 |     27.29 |  task_6386_cp2k_singlepoint_pre |
|        194 |   0.02 |  19.07 |    13.35 |    24.84 |    22.04 |     19.45 |     27.76 |  task_6384_cp2k_singlepoint_pre |
|        195 |   0.13 |  20.74 |    14.06 |    25.92 |    22.53 |     21.42 |     34.08 |  task_6388_cp2k_singlepoint_pre |
|        196 |   0.04 |  20.95 |    15.07 |    27.78 |    22.60 |     22.00 |     30.51 |  task_6392_cp2k_singlepoint_pre |
|        197 |   0.23 |  25.54 |    16.48 |    33.08 |    25.25 |     28.32 |     42.84 |  task_6390_cp2k_singlepoint_pre |
|        198 |   0.44 |  26.30 |    16.59 |    34.45 |    26.88 |     29.05 |     43.89 |  task_6396_cp2k_singlepoint_pre |
